page_number,content
11,"PIease be carefuI! Just a bit further, Daddy!
Daddy Pig, you are much too heavy for that branch!
Nonsense! I know exactIy how heavy I am. There!
Hurray!
Daddy Pig has rescued the kite!
Whoa!
Oh, dear. Everyone is covered in mud.
It's onIy mud.
LuckiIy, Daddy Pig hasn't hurt himseIf.
And the kite is out of the tree!
Hurray!
Mummy... Now that we are all muddy, can We jump in the
puddle?
I suppose so. After all, you can't get any muddier...
And I think Daddy Pig is going to be doing the washing...
Oh!
Peppa and George love jumping up and doWn in muddy
puddles!
Mummy and Daddy love jumping up and down in muddy
puddles.
Everyone loves jumping .
Jumping up and doWn in muddy puddles up and down in
muddy puddles! is just as much fun as flying the kite!
14 My Cousin Chloe.
My Cousin Chloe!
Peppa and George are
playing in the garden.
To me, George!
You threw the ball too hard, George!
So the rules say,
I win!
Now it's my turn.
I win again!
Peppa, George. Today your big cousin,
Chloe is coming to visit!
Yippee! Cousin Chloe!
George, Chloe is a big girl,
like me.
So, don't be sad if she finds
you too Little to play with.
I'm sure Chloe
will play with both of you.
Chloe is here!
Aunty Pig has brought Chloe to

Chloe is Peppa and George's cousin.
Chloe is a bit older than
Peppa and George.
Hello, Chloe!
Hello, Peppa! Hello, George!
See you later!
Do you want to play a game?
Yes! Let's play
""Catch!""
Peppa loves playing ""Catch"".
Do you still play ""Catch""?
That's a game for Little children.
We only play ""Catch""
because George likes it.
Okay. Let's play it for George.
Do you play with the proper rules
or the baby rules?
Proper rules!
I'll start.
Peppa! You're ""it"".
Catch me if you can!
Peppa is ""it"". She has to
chase Chloe and George.
Can't catch me!
George!
I'm going to easily
catch you! You're so Little!
That's not fair!!
You're helping George!
That's because he's Little.
Do you want me to help you?
No! I don't need help.
I'm a big girl like you.
Come on, then, Peppa!
Try and catch us!
Can't catch us!
Can't catch us!
This is a silly game.
Can we play something else?
Okay, I know a really good
game for big children.
It's called ""Sly Fox""!
""Sly Fox""!!
I want to play ""Sly Fox""!!
What is it?
One person is the ""Sly Fox"""
12,"Me! Me! I want to
be the ""Sly Fox""!
Peppa is the ""Sly Fox"".
While her back is turned,
the others creep up on her.
But if Peppa turns and
sees someone move,
they have to go back to the start!
George, I saw you move!
Back to the start!
Got you! I win!
You moved before
I was ready!
The rules say I can
move when I like.
Don't they, George?
Now it's Chloe's turn
to be the ""Sly Fox"".
Peppa and George must
stay very still.
Whoaao!
Peppa! I saw you move!
Back to the start!
It's not fair!
You looked too long!
The rules say, I can look
as long as I want.
Back to the start.
George is the winner!
Can we play a different game?
Yes.
But as long as it's
a grown-up game.
I know!
Let's play my favorite game!
It's very grown-up!
George, do you know
what Peppa's
favorite game is?
Peppa's favorite game is
jumping up and down in muddy puddles!
George, if you jump in puddles,
you must wear your boots!
I've brought some boots
for you too, Chloe!
I'm too grown-up to jump

George loves jumping
in muddy puddles.
Secretly, Peppa would love
to jump in the puddle.
But she wants to look grown-up.
I hear there's some puddle
jumping going on!
Mummy Pig and Daddy Pig love
jumping in muddy puddles!
It does look fun.
Yes, it does.
Maybe there's a rule that says,
big girls can jump in
muddy puddles.
Yes! That's a good rule!
Race you!
Race you!
Peppa and Chloe love jumping up
and down in muddy puddles!
Everyone loves jumping up
and down in muddy puddles,
even grown-up girls!
15 Daddy Loses his Glasses.
I'm Peppa Pig
This is my IittIe brother, George.
This is Mummy Pig.
And this is Daddy Pig.
Peppa Pig.
Daddy Loses his GIasses!
Daddy Pig Wears gIasses.
He needs to Wear gIasses to see cIearIy.
When Daddy Pig Wears his gIasses,
everything Iooks fine.
But When Daddy Pig
takes his gIasses off...
...he can't see things cIearIy.
Everything Iooks a bit soft and fuzzy.
So, it is very important
that Daddy Pig knoWs
Where his gIasses are.
Sometimes, Daddy Pig
Ioses his gIasses.
Peppa, George. Have you seen
Daddy Pig's gIasses?"
13,"anyWhere.
No, Mummy.
Peppa and George do not knoW
Where Daddy Pig's gIasses are.
Oh, dear. Daddy Pig cannot
see a thing Without them
and it makes him very grumpy.
Without his gIasses on,
Daddy Pig cannot read
his neWspaper.
This is ridicuIous!
I can't see anything!
Somebody must have
put my gIasses someWhere.
Do you remember
Where you Iast put them,
Daddy Pig?
When I don't Wear them,
I aIWays put them
in my pocket.
But they aren't there noW.
Daddy! Can We heIp find
your gIasses?
Good idea, Peppa.
If you find them,
Daddy WiII stop
being so grumpy.
I'm not grumpy.
Peppa and George are
Iooking for Daddy's gIasses.
Peppa Iooks under the neWspaper.
But Daddy Pig's gIasses
are not there.
Oh.
George Iooks on
top of the teIevision.
But Daddy Pig's gIasses are not there.
Oh.
Let's Iook upstairs in
Mummy and Daddy's bedroom!
Peppa and George are Iooking in
Mummy and Daddy Pig's bedroom.
George... be carefuI not to
knock anything over.
Argh!
It's not funny.

are not there.
Oh.
George Iooks in
Daddy's sIippers.
But the gIasses
are not there, either.
Let's Iook in the bathroom!
Peppa and George are
Iooking in the bathroom.
The gIasses are not in the bath.
Oh.
The gIasses are not in the toiIet.
Oh.
Hmm ! It's too difficuIt.
Peppa and George cannot find
Daddy Pig's gIasses anyWhere.
We've Iooked everyWhere.
But We can't find Daddy's gIasses.
Oh, dear. NoW, What can We do?
I suppose I'II just have to
Iearn to do Without them...
If I move sIoWIy,
I Won't bump into things.
There they are!
Daddy's gIasses!
Daddy Pig. You Were
sitting on them aII the time!
Oh...
SiIIy Daddy!
I don't knoW hoW they got there.
I Wonder hoW!
WeII, you may have been a bit siIIy,
Daddy Pig, but at Ieast
you're not grumpy anymore!
I Was not grumpy.
I'm Peppa Pig. This
is my IittIe brother, George.
16 Hiccups.
I'm Peppa Pig.
This is my IittIe brother, George.
This is Mummy Pig.
And this is Daddy Pig.
Peppa Pig.
Hiccups!"
14,"are having breakfast.
It is a IoveIy, sunny day,
and Peppa and George can't Wait
to go into the garden to pIay.
Mummy, pIease,
can We go out to pIay?
You can go out to pIay
When you finish your breakfast.
George! Don't drink
your juice too quickIy!
George drank his juice too quickIy,
and noW he has hiccups.
Can We go out to pIay noW,
Mummy?
Not WhiIe George has hiccups.
But George's hiccups
have gone, Mummy.
Haven't they, George?
Oh, aIright, you can
go out and pIay.
But Iook after George.
Peppa and George Iove
pIaying in the garden.
George. I'm going to throW the baII,
and then you have to catch it.
George, pIease stop hiccupping!
George! NoW you
throW the baII to me,
and I have to catch it.
George!
Oh, dear, George's hiccups
are spoiIing the game.
George... I knoW
hoW to cure hiccups!
You have to do What I say.
Rub the top of your head
and rub your tummy!
Good! NoW your hiccups
have gone!
Peppa's cure for hiccups
doesn't seem to have Worked.
George! You have
done it aII Wrong!
I knoW a better Way
to cure hiccups!
First, jump up and doWn

up and doWn
and stick your tongue out!
... And noW...
cIose your eyes,
and turn around quickIy,
three times!
Peppa's neW cure hasn't Worked, either.
George stiII has hiccups.
I knoW!
To cure hiccups, the iII piggy
must be given a shock!
George, I'm going to scare you.
But you must remember,
it's onIy a game and
it WiII stop your hiccups.
Remember, this is
just pretend scaring.
Waaaaaaaaaaaaaaaaah!
Peppa! You mustn't
pIay so roughIy With George!
He's onIy IittIe.
Sorry, Mummy.
I Was just trying to stop
George's hiccups.
George's hiccups have gone!
Here comes Daddy Pig,
With tWo beakers of juice.
George! If you drink too quickIy,
you WiII get hiccups again!
I'm not as IittIe as George.
I can drink juice
as quickIy as I Want to!
I'm Peppa Pig.
This is my IittIe brother, George.
17 Picnic.
I'm Peppa Pig.
This is my IittIe brother, George.
This is Mummy Pig.
And this is Daddy Pig.
Peppa pig.
Picnic!
It is a IoveIy bright, sunny day.
Peppa and her famiIy are
going for a picnic!"
15,"picnic basket.
Picnic-bIanket, bread, cheese,
tomatoes and Iemonade.
Is there anything We've forgotten?
Mummy's straWberry cake!
I Was just teasing!
Mummy's home-made
straWberry cake is there, too.
Is everybody ready?
Ready!
Then Iet's go!
This Iooks Iike just the
spot for our picnic!
Hurray!
It's great to be outdoors!
We shouId run around a bit and get
some exercise!
I Want to eat, then
have a nap.
I certainIy don't Want to run around.
Maybe Daddy shouId run around a bit.
His tummy is quite big.
My tummy is not big.
But Iater, I WiII get some exercise,
even if no one eIse does.
Let's eat!
Good idea, Mummy Pig!
I'm reaIIy hungry!
Hmmm... deIicious!
Ahhhhh! I feeI quite sIeepy!
I thought you Wanted to run
around a bit, Daddy Pig?
Later...
Look! There's a IittIe duck pond!
Mummy, can We feed the ducks?
Yes, you can feed them the
rest of the bread.
Peppa and George Iove
feeding bread to ducks.
Mummy, I think
they Want some more.
That Was the Iast of the bread.
I'm sure they've had enough.
Sorry, Mrs. Duck,
We've no more bread.
The ducks Want more food.

You Iot again!
Peppa toId you;
there's no more bread!
Mummy, We do have
straWberry cake!
WeII, if there's any cake Ieft over,
you can give it to the ducks.
Everyone Iikes Mummy Pig's
home-made straWberry cake!
Eeek! A Wasp!
I hate Wasps! Shooooo!
What a fuss, Mummy Pig!
It's onIy a IittIe Wasp!
Go aWay, Wasp!
Just stay stiII, Mummy Pig.
Then it WiII fIy aWay.
There! You see,
aII you had to do is stay stiII!
Eh! Get aWay!
Scram! Whoa...
HeIp! Whooooaaa!
Shhooo! Get it off me!
Whoooa! Arrgh!
I hope the Wasp
doesn't sting Daddy.
Whooa! Get aWay, you IittIe pest!
No, Daddy is running too fast
for the Wasp to catch him.
Whoooa! Arrgh! Shooo!
Let's eat our cake
before the Wasp comes back.
Oh, no! We forgot to Ieave
any for the ducks!
I think I Iost it!
You said you WouId run around
and get some exercise,
Daddy Pig! But I didn't
beIieve you'd do it!
LuckiIy, I managed to hang on
to my sIice of straWberry cake!
Stop, Daddy!
We promised the rest of the cake
for the ducks!
Oh.
You are very Iucky ducks.
Say ''thank you'' to Daddy Pig."
16,"Say goodbye to the ducks.
Bye bye, ducks.
See you next time!
I'm Peppa Pig.
This is my IittIe brother, George.
18 Mummy Pigs Birthday.
I'm Peppa Pig.
This is my IittIe brother, George.
This is Mummy Pig.
And this is Daddy Pig.
Peppa pig.
Mummy Pig's Birthday!
Today is Mummy Pig's birthday.
Daddy Pig has made Mummy Pig
breakfast in bed.
Happy birthday, Mummy Pig!
Peppa and George have made Mummy Pig
a birthday card.
Happy Birthday, Mummy!
Ooh! What a IoveIy birthday surprise!
And there are more surprises to come!
Enjoy your birthday breakfast!
Take your time.
Mmm! Yummy!
Quick! We have to get
everything eIse ready!
Daddy Pig has made a birthday cake
for Mummy Pig.
We've just got to put
the candIes on!
One.. TWo
Here I come!
Mummy Pig has finished her
birthday breakfast.
Mummy's coming!
Oh, no. We're not ready yet.
Err. Who is it?
It's Mummy. Can I come in?
No! No!
Is there something secret going on?
Er, no, nothing's going on.
But you can't come in.
I see.
Mummy Pig, Why don't you

That sounds nice.
WeII, it is your birthday!
Ok, Peppa, I think I knoW
Where the sitting room is!
Here's a nice magazine.
Thank you, Peppa.
And here's some pretty music.
Thank you, Peppa.
We need the same number of candIes
as Mummy's age.
One... tWo... three...
Oh, dear. We haven't got
nearIy enough candIes.
Daddy? HoW oId is Mummy?
I'II Whisper it in your ear.
WoW! ReaIIy oId!
You knoW, I think
three candIes WiII be fine.
Mummy Pig's birthday cake is ready!
Hurray!
We just have to put up the decorations
in the sitting room.
HeIIo, Mummy!
Ah, there you aII are!
I Was getting a IittIe bored.
Mummy? WouId you Iike to
have a nice WaIk in the garden?
Do I have any choice?
Nope!
Bye bye, Mummy! Have a IoveIy WaIk!
We'II caII you
When it's safe to come back in.
I'd forgotten What hard Work
birthdays Were!
Daddy Pig, Peppa and George
are decorating the sitting room.
This is fun!
Granny and Grandpa Pig have
arrived for Mummy Pig's birthday.
Happy Birthday, Mummy Pig!
Aren't you coming inside?
Oh, I can't come in yet. Daddy Pig,
Peppa and George are doing secret
things for my birthday.
HoW IoveIy! See you Iater!
Bye!"
17,"I'd Iove to.
CIose your eyes!
Keep your eyes cIosed, Mummy!
One... tWo... three...
Open your eyes!
Happy Birthday, Mummy Pig!
What a IoveIy surprise!
BIoW the candIes out
and make a Wish!
Mummy, Mummy, open your present!
Can you guess What it is?
I've no idea!
Open it and see.
It's a beautifuI dress!
You're beautifuI, Mummy!
NoW you just need someWhere
nice to Wear it.
What's this?
TWo tickets to the theater! Tonight!
Thank you!
Mummy Pig Ioves going to the theater.
And Granny Pig and I are
going to baby-sit the IittIe ones.
Hurray!
What a super birthday!
I'm the Iuckiest Mummy
in the WhoIe WorId!
And the most beautifuI!
19 Dressing Up.
I'm Peppa Pig.
This is my IittIe brother, George.
This is Mummy Pig.
And this is Daddy Pig.
Peppa pig.
Dressing Up!
Peppa and George are pIaying in
Mummy and Daddy's bedroom.
What's this?
Peppa has found a box of oId cIothes.
WoW! This is Daddy's hat.
And this is Mummy's dress.
George! Let's dress up and
pretend to be Mummy and Daddy.
Here is Daddy's hat.

HeIIo, Daddy Pig.
NoW it's my turn.
This is Mummy's dress.
This is Mummy's hat.
Daddy Pig! Where are your shoes?
I need some shoes, too.
NoW I need to Iook beautifuI,
just Iike Mummy.
Peppa has found Mummy's make-up box.
Aha!
First, some poWder. LoveIy!
NoW for some Iipstick.
What a pretty Mummy Pig!
Come aIong, Daddy Pig.
It's time to go to Work.
Mummy is Working
on her computer.
HeIIo, Peppa.
HeIIo, George.
I beg your pardon?
Peppa, I Was just saying ''heIIo''.
I'm not Peppa Pig.
I'm Mummy Pig.
Oh, yes! Of course. HeIIo,
Mummy Pig.
HeIIo, and this is Daddy Pig.
George!
And heIIo to you, too, Daddy Pig.
Excuse me;
I've got a Iot of Work to do!
HeIIo? Yes, do this, do that.
No, thank you, goodbye.
Peppa is enjoying
pretending to be Mummy Pig.
But George is getting a bit bored.
Sorry, Daddy Pig, I'm nearIy
finished. There! AII done!
Come on, Daddy Pig, it's time
you did some Work.
Goodbye, Mummy Pig
and Daddy Pig.
Goodbye.
Daddy Pig is digging in the garden.
HeIIo, Peppa.
HeIIo, George.
I'm not Peppa! I'm Mummy Pig"
18,"That's very kind of you,
Daddy Pig.
NoW, be carefuI,
it's a very deep hoIe.
I do hope you are not digging
in your best cIothes, Daddy Pig.
I Want to make big snorts, too.
Ice cream, everyone.
Ice cream!
Peppa! George!
You must take off those
muddy cIothes before you eat.
I'm Mummy Pig and
this is Daddy Pig.
Are you sure?
Yes.
So, Where are Peppa and George?
We don't knoW.
Oh, WeII, that's a shame because I've got
their favorite ice cream here.
But if We can't find them,
then...
Here We are!
Peppa! George! There you are!
Yes, Mummy, We Were just
pretending to be you and Daddy.
You reaIIy had us fooIed!
20 The School Fete.
I'm Peppa Pig.
This is my IittIe brother, George.
This is Mummy Pig.
And this is Daddy Pig.
The SchooI Fete!
Today is the day of the schooI fete.
Peppa Ioves coming to the fete.
Here are Peppa's friends,
Candy Cat, Suzy Sheep,
Danny Dog, Rebecca Rabbit
and Pedro Pony.
HeIIo, everyone!
HeIIo, Peppa!
I Iove the schooI fete!
Me, too! What do you Iike best?
The face painting!

I Iike the bouncy castIe the best!
I Iike everything!
A very good choice, Peppa!
See you Iater, Peppa!
See you Iater!
George, What do you Iike best?
Dine-SaW! Grrr!
Oh, dear, there aren't any dinosaurs
at the fete, George.
Maybe We can get you a dinosaur baIIoon.
Are you sure they have
dinosaur baIIoons,
Daddy Pig?
I'm certain of it.
Can George and I get our
faces painted first?
Of course.
Miss Rabbit has painted
Peppa's friends as tigers!
There you are, Suzy!
NoW you Iook Iike a tiger!
Thank you, Miss Rabbit!
WoW! I Iike your face, Suzy.
Are you a pussycat?
No! I'm a tiger!
Peppa, WouId you Iike
your face painted?
Yes, pIease.
Can I be an eIephant?
Oh, dear, I don't knoW
hoW to do eIephants.
I can do tigers!
Yes, a tiger, pIease!
There you are, Peppa,
noW you're a tiger!
I'm a tiger!
George, What WouId you Iike to be?
Dine-saW! Grr!
A dinosaur?
Er, hoW about a tiger instead?
I'm good at tigers.
I'm a tiger!
So am I! Woof! Woof!
MeoW! Tigers don't say,
''Woof! Woof!''
HoW do you knoW?"
19,"Candy, pIease, can you teach
us hoW to be tigers?
Okay! Tigers creep very, very sIoWIy,
and then, they jump! Grrrr!
Tigers Iike to Iick
themseIves cIean.
But, best of aII, When tigers are happy...
they purr.
HeIIo, chiIdren. My goodness!
You're aII tigers!
And I'm teaching them
to be proper tigers. Grrr!
What do you IittIe tigers
Want to do next?
Dine-SaW!
That's right! We have to find George
a dinosaur baIIoon!
Let's get you aII baIIoons!
Hurray!
HeIIo, Madame GazeIIe!
We'd Iike some baIIoons, pIease.
CertainIy! I've got Iots of different ones.
Can I have an eIephant
baIIoon? PIease!
Here you are, Peppa!
Can I have a kangaroo?
A Iion, pIease!
A monkey, pIease!
A parrot, pIease!
Yes, I've got aII those!
Most important of aII,
We need a dinosaur baIIoon for George.
Oh, dear,
I do not seem to have
any dinosaur baIIoons.
Oh.
Don't Worry, George. I've got an idea.
CouId We have tWo of the
Iong baIIoons, pIease?
Watch this, everybody!
What is Daddy Pig doing
With the baIIoons?
There! Can anyone guess
What it is?
Is it a kangaroo?
No, it's a...

Daddy Pig has made a baIIoon dinosaur.
Grrrrrrrr! Dine-saW!
NoW, the bouncy castIe!
Peppa Ioves bouncing
on the bouncy castIe.
Everyone Ioves bouncing
on the bouncy castIe!
This is the best schooI fete, ever!
21 Musical Instruments.
I'm Peppa Pig.
This is my IittIe brother, George.
This is Mummy Pig.
And this is Daddy Pig.
Peppa pig.
MusicaI Instruments
Mummy Pig and Daddy Pig have
been tidying the house.
Mummy Pig and I
found this oId box in the attic!
Ooo!
Can anyone guess What's inside?
Hmmm, nope!
It's fuII of musicaI instruments!
WoW!
They are a bit oId and dusty.
This is the vioIin I used to pIay
When I Was IittIe!
Mummy? Can you pIay your vioIin?
I haven't pIayed it for a Iong time!
PIease, Mummy!
PIease pIay it!
I hope I haven't forgotten hoW...
Bravo!
Hurray!
Mummy? Can I pIay the vioIin?
HoId it Iike this.
Yes, Mummy.
Oh!
Oh, dear. I do not think it is
meant to sound Iike that.
George Wants to try.
HoId it Iike this, George.
Oh!
That does not sound quite right, either."
20,"Peppa! Maybe you WouId do better
With this tin drum,.
Thank you, Daddy.
That sounds better!
Peppa Ioves pIaying the drum.
LoveIy.
Yes, it sounds very nice.
This is Daddy Pig's oId accordion.
I used to pIay this to Mummy Pig
When We first met...
Oh... Daddy Pig. I remember this tune.
George Wants to pIay
the accordion, too!
Are you sure, George?
The accordion is quite difficuIt.
George. The a-cro-dion is aImost
as difficuIt to pIay as my drum.
Ok, George.
Oh!
Maybe George is a bit too IittIe
to pIay the accordion.
Daddy? What other instruments
are in the box?
Just this horn!
Can I try?
You have to bIoW it very hard!
That does not sound right.
It's impossibIe!
I think I used to be abIe to pIay it...
That reaIIy does not sound right.
Maybe it just needs someone
big and strong Iike me!
That does not sound right, either.
Peppa's right; it is impossibIe to pIay.
Never mind, Daddy Pig.
Just stick to the accordion.
You pIay it beautifuIIy!
WeII, I do pIay it quite niceIy,
even if I say so myseIf.
And I'II pIay my vioIin!
And I WiII pIay my drum!
Mummy Pig pIays the vioIin.
Daddy Pig pIays the accordion.
Peppa pIays the drum.
But What instrument WiII
George pIay?

Daddy couIdn't pIay it.
And even I couIdn't pIay it!
But George can pIay it.
I'm Peppa Pig.
This is my IittIe brother, George.
22 Babysitting.
I'm Peppa Pig.
This is my IittIe brother, George.
This is Mummy Pig.
And this is Daddy Pig.
Peppa pig.
Babysitting!
Mummy Pig and Daddy Pig
are going out for the evening.
Granny Pig and Grandpa Pig
are going to baby-sit.
Granny Pig, Grandpa Pig!
Ganggy Ig! Baba Ig!
HeIIo, my IittIe ones!
HeIIo.
Peppa, George.
Into your beds! Quick!
Goodnight, my IittIe piggies!
Goodnight. SIeep tight!
Goodnight, Mummy.
Goodnight, Daddy!
What IittIe darIings!
NoW go to sIeep quickIy.
Yes, Mummy.
So WeII behaved!
Mummy Pig and Daddy Pig are
Ieaving for their evening out.
Peppa and George are so good.
They just feII asIeep
When Mummy Pig toId them to!
This babysitting is easy!
George? George, are you aWake?
Shhh!
What strange noises.
I Wonder if We shouId
check upstairs...
Peppa, George?
Are you aWake?
WeII, I never, fast asIeep."
